Customer ID,Recency,Frequency,Monetary,RecencyScore,FrequencyScore,MonetaryScore,RFM_SCORE,Segment
12346,324,1,77183.6,1,1,5,115,Hibernating
12347,1,7,4309.999999999997,5,5,5,555,Champions
12348,74,4,1797.24,2,4,4,244,At Risk
12349,17,1,1757.55,4,1,4,414,Promising
12350,309,1,334.40000000000003,1,1,2,112,Hibernating
12352,35,8,2506.040000000001,3,5,5,355,Loyal Customers
12353,203,1,89.0,1,1,1,111,Hibernating
12354,231,1,1079.4,1,1,4,114,Hibernating
12355,213,1,459.4,1,1,2,112,Hibernating
12356,21,3,2811.4300000000007,4,3,5,435,Potential Loyalists
12357,32,1,6207.669999999996,3,1,5,315,About to Sleep
12358,0,2,1168.06,5,2,4,524,Potential Loyalists
12359,56,4,6372.580000000005,3,4,5,345,Loyal Customers
12360,51,3,2662.0600000000004,3,3,5,335,Need Attention
12361,286,1,189.89999999999998,1,1,1,111,Hibernating
12362,2,10,5226.230000000003,5,5,5,555,Champions
12363,108,2,552.0,2,2,3,223,Hibernating
12364,6,4,1313.1000000000001,5,4,4,544,Champions
12365,290,2,641.38,1,2,3,123,Hibernating
12367,3,1,168.9,5,1,1,511,New Customers
12370,50,4,3545.689999999998,3,4,5,345,Loyal Customers
12371,43,2,1887.9600000000003,3,2,4,324,About to Sleep
12372,70,3,1298.0400000000002,3,3,4,334,Need Attention
12373,310,1,364.6,1,1,2,112,Hibernating
12374,24,1,742.93,4,1,3,413,Promising
12375,9,2,457.5000000000001,5,2,2,522,Potential Loyalists
12377,314,2,1628.1199999999997,1,2,4,124,Hibernating
12378,128,1,4008.6200000000013,2,1,5,215,Hibernating
12379,80,2,852.2399999999997,2,2,3,223,Hibernating
12380,20,4,2724.81,4,4,5,445,Loyal Customers
12381,3,5,1845.3100000000006,5,4,4,544,Champions
12383,183,5,1850.5599999999997,1,4,4,144,At Risk
12384,27,2,585.2700000000001,4,2,3,423,Potential Loyalists
12386,336,2,401.90000000000003,1,2,2,122,Hibernating
12388,14,6,2780.6600000000003,4,4,5,445,Loyal Customers
12390,78,1,549.8399999999999,2,1,3,213,Hibernating
12391,20,1,460.88999999999993,4,1,2,412,Promising
12393,71,4,1582.6000000000004,2,4,4,244,At Risk
12394,62,2,1272.48,3,2,4,324,About to Sleep
12395,18,12,3018.6299999999987,4,5,5,455,Loyal Customers
12397,34,2,2409.9000000000005,3,2,5,325,About to Sleep
12398,44,1,1635.6599999999999,3,1,4,314,About to Sleep
12399,118,4,1108.65,2,4,4,244,At Risk
12401,302,1,84.3,1,1,1,111,Hibernating
12402,322,1,225.6,1,1,1,111,Hibernating
12403,48,1,427.7,3,1,2,312,About to Sleep
12405,147,1,1710.3900000000006,2,1,4,214,Hibernating
12406,21,2,3415.300000000001,4,2,5,425,Potential Loyalists
12407,48,5,1708.1199999999997,3,4,4,344,Loyal Customers
12408,31,5,2888.5500000000006,4,4,5,445,Loyal Customers
12409,77,3,11072.670000000002,2,3,5,235,At Risk
12410,307,2,693.3299999999999,1,2,3,123,Hibernating
12412,73,3,1226.8799999999999,2,3,4,234,At Risk
12413,65,3,758.0999999999999,3,3,3,333,Need Attention
12414,216,3,562.41,1,3,3,133,At Risk
12415,23,20,124914.52999999975,4,5,5,455,Loyal Customers
12417,2,9,3649.1,5,5,5,555,Champions
12418,111,1,668.5799999999997,2,1,3,213,Hibernating
12420,62,1,600.3900000000001,3,1,3,313,About to Sleep
12421,14,4,807.0400000000002,4,4,3,443,Loyal Customers
12422,94,3,803.5599999999998,2,3,3,233,At Risk
12423,-1,8,1859.3100000000002,5,5,4,554,Champions
12424,161,1,1760.9599999999998,2,1,4,214,Hibernating
12425,77,1,777.1999999999999,2,1,3,213,Hibernating
12426,193,1,582.7299999999999,1,1,3,113,Hibernating
12427,20,3,825.8000000000002,4,3,3,433,Potential Loyalists
12428,24,9,7956.460000000004,4,5,5,455,Loyal Customers
12429,8,4,3750.400000000001,5,4,5,545,Champions
12430,42,1,256.4,3,1,2,312,About to Sleep
12431,34,15,6487.449999999999,3,5,5,355,Loyal Customers
12432,41,5,5059.3200000000015,3,4,5,345,Loyal Customers
12433,-1,7,13375.869999999992,5,5,5,555,Champions
12434,83,2,806.14,2,2,3,223,Hibernating
12435,78,2,7829.889999999998,2,2,5,225,Hibernating
12436,98,1,509.01000000000005,2,1,3,213,Hibernating
12437,0,18,4951.409999999997,5,5,5,555,Champions
12438,13,2,2906.8500000000004,4,2,5,425,Potential Loyalists
12441,365,1,173.55,1,1,1,111,Hibernating
12442,2,1,172.06,5,1,1,511,New Customers
12444,20,5,5005.46,4,4,5,445,Loyal Customers
12445,21,1,133.4,4,1,1,411,Promising
12446,56,1,1002.3099999999998,3,1,4,314,About to Sleep
12447,242,1,476.49,1,1,2,112,Hibernating
12448,43,1,449.4500000000001,3,1,2,312,About to Sleep
12449,21,4,4067.2900000000013,4,4,5,445,Loyal Customers
12450,155,2,197.88,2,2,1,221,Hibernating
12451,9,5,9035.519999999999,5,4,5,545,Champions
12452,15,2,430.57000000000005,4,2,2,422,Potential Loyalists
12453,133,1,707.0899999999999,2,1,3,213,Hibernating
12454,55,1,3528.34,3,1,5,315,About to Sleep
12455,72,6,2466.859999999997,2,5,5,255,Can't Loose
12456,43,3,3181.039999999998,3,3,5,335,Need Attention
12457,65,7,2363.2299999999996,3,5,5,355,Loyal Customers
12458,70,2,947.4000000000001,3,2,4,324,About to Sleep
12461,93,2,826.8800000000001,2,2,3,223,Hibernating
12462,17,2,1189.5900000000001,4,2,4,424,Potential Loyalists
12463,52,4,1344.7799999999997,3,4,4,344,Loyal Customers
12464,9,8,1212.0499999999997,5,5,4,554,Champions
12465,16,2,742.1900000000002,4,2,3,423,Potential Loyalists
12468,186,2,729.54,1,2,3,123,Hibernating
12471,1,30,19824.049999999945,5,5,5,555,Champions
12472,31,7,6572.110000000003,4,5,5,455,Loyal Customers
12473,28,5,3938.55,4,4,5,445,Loyal Customers
12474,16,18,7375.789999999998,4,5,5,455,Loyal Customers
12475,52,1,723.38,3,1,3,313,About to Sleep
12476,14,11,6816.420000000005,4,5,5,455,Loyal Customers
12477,21,6,13219.73999999999,4,5,5,455,Loyal Customers
12478,2,1,680.9900000000002,5,1,3,513,New Customers
12479,10,1,527.2,5,1,3,513,New Customers
12480,27,4,3281.6300000000015,4,4,5,445,Loyal Customers
12481,21,10,5596.320000000002,4,5,5,455,Loyal Customers
12483,16,8,2484.980000000001,4,5,5,455,Loyal Customers
12484,31,6,4541.720000000001,4,5,5,455,Loyal Customers
12488,8,3,1298.6599999999999,5,3,4,534,Potential Loyalists
12489,335,1,334.92999999999995,1,1,2,112,Hibernating
12490,4,10,5417.9299999999985,5,5,5,555,Champions
12491,37,1,460.4000000000001,3,1,2,312,About to Sleep
12492,62,2,263.21,3,2,2,322,About to Sleep
12493,164,2,433.74,2,2,2,222,Hibernating
12494,14,7,1246.1000000000006,4,5,4,454,Loyal Customers
12497,80,1,1043.1,2,1,4,214,Hibernating
12498,20,3,403.7,4,3,2,432,Potential Loyalists
12500,22,11,4257.820000000001,4,5,5,455,Loyal Customers
12501,335,1,2169.3899999999994,1,1,5,115,Hibernating
12502,94,5,3723.87,2,4,5,245,At Risk
12504,17,2,482.04999999999995,4,2,2,422,Potential Loyalists
12506,231,1,73.50000000000003,1,1,1,111,Hibernating
12507,133,3,1304.81,2,3,4,234,At Risk
12508,25,2,398.27000000000004,4,2,2,422,Potential Loyalists
12509,283,1,176.5,1,1,1,111,Hibernating
12510,141,2,982.57,2,2,4,224,Hibernating
12512,65,2,138.03000000000006,3,2,1,321,About to Sleep
12513,111,1,612.2900000000001,2,1,3,213,Hibernating
12514,266,1,1017.6800000000002,1,1,4,114,Hibernating
12515,352,1,383.7,1,1,2,112,Hibernating
12516,76,2,1312.06,2,2,4,224,Hibernating
12517,27,5,2502.8399999999983,4,4,5,445,Loyal Customers
12518,-1,5,2056.8899999999994,5,4,4,544,Champions
12519,62,1,340.84,3,1,2,312,About to Sleep
12520,78,5,2634.26,2,4,5,245,At Risk
12521,141,1,599.6800000000001,2,1,3,213,Hibernating
12522,38,2,192.72000000000003,3,2,1,321,About to Sleep
12523,18,11,1789.7700000000007,4,5,4,454,Loyal Customers
12524,8,8,4485.719999999999,5,5,5,555,Champions
12526,-1,3,1316.6600000000005,5,3,4,534,Potential Loyalists
12527,80,3,348.71000000000004,2,3,2,232,At Risk
12528,8,6,1933.4800000000007,5,5,4,554,Champions
12530,58,4,1662.2799999999993,3,4,4,344,Loyal Customers
12531,13,1,125.22,4,1,1,411,Promising
12532,29,1,349.83,4,1,2,412,Promising
12534,129,1,1089.18,2,1,4,214,Hibernating
12535,90,2,716.3500000000001,2,2,3,223,Hibernating
12536,42,3,12601.830000000005,3,3,5,335,Need Attention
