Customer ID,Recency,Frequency,Monetary,RecencyScore,FrequencyScore,MonetaryScore,RFM_SCORE,Segment,RecencyScaled,FrequencyScaled,MonetaryScaled,ClusterKMeans,ClusterHierarchical
12346,324,1,77183.6,1,1,5,115,Hibernating,0.871313672922252,0.0,0.2754530398740186,4,1
12347,1,7,4309.999999999997,5,5,5,555,Champions,0.005361930294906166,0.028571428571428577,0.015381539625736804,1,2
12348,74,4,1797.24,2,4,4,244,At Risk,0.20107238605898123,0.014285714285714287,0.0064139949598513305,5,3
12349,17,1,1757.55,4,1,4,414,Promising,0.0482573726541555,0.0,0.006272349180792051,1,2
12350,309,1,334.4000000000001,1,1,2,112,Hibernating,0.8310991957104558,0.0,0.0011934076220061235,4,1
12352,35,8,2506.040000000001,3,5,5,355,Loyal Customers,0.096514745308311,0.03333333333333334,0.00894356231175905,1,2
12353,203,1,89.0,1,1,1,111,Hibernating,0.546916890080429,0.0,0.00031762344006741914,2,4
12354,231,1,1079.4,1,1,4,114,Hibernating,0.6219839142091153,0.0,0.0038521656315592388,2,4
12355,213,1,459.4,1,1,2,112,Hibernating,0.5737265415549598,0.0,0.0016395079591794645,2,4
12356,21,3,2811.430000000001,4,3,5,435,Potential Loyalists,0.05898123324396783,0.009523809523809525,0.010033438967513984,1,2
12357,32,1,6207.669999999996,3,1,5,315,About to Sleep,0.08847184986595175,0.0,0.02215394944048668,1,2
12358,0,2,1168.06,5,2,4,524,Potential Loyalists,0.002680965147453083,0.004761904761904762,0.004168575678709546,1,2
12359,56,4,6372.5800000000045,3,4,5,345,Loyal Customers,0.15281501340482573,0.014285714285714287,0.022742480693312757,5,3
12360,51,3,2662.0600000000004,3,3,5,335,Need Attention,0.13941018766756033,0.009523809523809525,0.009500366908605324,5,3
12361,286,1,189.9,1,1,1,111,Hibernating,0.7694369973190349,0.0,0.0006777156322337404,2,4
12362,2,10,5226.230000000003,5,5,5,555,Champions,0.00804289544235925,0.04285714285714286,0.01865138372116347,1,2
12363,108,2,552.0,2,2,3,223,Hibernating,0.2922252010723861,0.004761904761904762,0.001969979088957476,5,3
12364,6,4,1313.1,5,4,4,544,Champions,0.01876675603217158,0.014285714285714287,0.0046861948219385175,1,2
12365,290,2,641.38,1,2,3,123,Hibernating,0.7801608579088471,0.004761904761904762,0.002288958674049902,4,1
12367,3,1,168.9,5,1,1,511,New Customers,0.010723860589812333,0.0,0.000602770775588619,1,2
12370,50,4,3545.6899999999982,3,4,5,345,Loyal Customers,0.13672922252010725,0.014285714285714287,0.012653868036097155,5,3
12371,43,2,1887.9600000000007,3,2,4,324,About to Sleep,0.11796246648793567,0.004761904761904762,0.006737756740558257,1,2
12372,70,3,1298.0400000000004,3,3,4,334,Need Attention,0.19034852546916892,0.009523809523809525,0.004632448653315875,5,3
12373,310,1,364.6,1,1,2,112,Hibernating,0.8337801608579088,0.0,0.0013011854634672026,4,1
12374,24,1,742.93,4,1,3,413,Promising,0.06702412868632708,0.0,0.0026513705879695247,1,2
12375,9,2,457.50000000000017,5,2,2,522,Potential Loyalists,0.026809651474530835,0.004761904761904762,0.0016327272340544304,1,2
12377,314,2,1628.1199999999994,1,2,4,124,Hibernating,0.8445040214477212,0.004761904761904762,0.005810439047669284,4,1
12378,128,1,4008.6200000000013,2,1,5,215,Hibernating,0.34584450402144773,0.0,0.014305973868798406,3,5
12379,80,2,852.2399999999997,2,2,3,223,Hibernating,0.21715817694369974,0.004761904761904762,0.0030414764108208673,5,3
